Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,onbreak,2 to 5 years,Health reasons/disability/recovery;Menopause;Burn-out;Workplace bullying;Redundancy;All the above plus moving house as well;,"Health issues (unable to work);Health issue (lack of support);Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Discrimination (age/gender/ethnicity);Discrimination (career gap);I'm really worried that my chequered work history up to this point,plus my age (over fifty) is going to go against me.  Plus I'm very worried about getting suitable flexible post within the area I want to work in - moving from admin into tech;",6-12 months is my hope,,,,,,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,Yes – later break(s) had a more significant and mostly negative impact,Financial independence;Fulfilment;Following my dreams;Following my ambition;Status;,Studying - full-time or part-time;(Re)Training;Volunteering;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;In therapy to try to heal my mental health well enough to cope with working;,no need for this,very helpful,very helpful,Perimenopausal or Menopausal;Mental health issues;Experience of trauma;LGBTQIA+;I suffer from symptoms of borderline personality disorder (not been diagnosed) which make team working and dealing with authority extremely challenging for me (in therapy specifically to deal with this);,No child,,50 to 59 years,Master's dregree or equivalent,5-10 years,White Scottish,Eh22
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;,more than 5 years,Childcare;Health reasons/disability/recovery;Supporting partner's career;,Health issues (unable to work) ;Health issue (lack of support);Lack of jobs (local area);Lack of flexible jobs;Lack of market insight;Lack in confidence;Career switch (unsure what);Lack of jobs (with progression);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Fulfilment;Being a positive role model;Meeting family expectations;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Mental health issues;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Other British,EH45 8HH
Yes,Yes,onbreak,2 to 5 years,Childcare;,Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (salary/experience);Lack of jobs (with progression);Lack of confidence in skills/experience;Lack in confidence;Career switch (can’t afford);Discrimination (career gap);,Within the next three months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Following my ambition;Fulfilment;Contributing to society;,Stay-at-home parent;,nice to have,very helpful,very helpful,Motherhood;Lone parent;Perimenopausal or Menopausal;Mental health issues;,1 child,No,40 to 49 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Over 20 years,White Scottish,EH45
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I changed career;I am now self-employed ;I am earning less;I have a better (work)life balance;,6 months to 2 years,Maternity Leave;Burn-out;Bereavement ;,Lack of flexible jobs;Lack of jobs (local area);Lack of affordable care;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Fulfilment;Following my ambition;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Mental health issues;,1 child,No,30 to 39 years,Master's dregree or equivalent,5-10 years,White Scottish,Eh21
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,"Having to return full-time so I can afford nursery care, but only wanting to work part-time;",Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Making change for future generations;Contributing to society;",Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;Mental health issues;Disabled or chronic health condition;,2 children,Yes,40 to 49 years,Bachelor's degree or equivalent,15-20 years,White Scottish,Eh4
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;,"I'm currently on mat leave and have had two previous periods of Mat leave. Logistically, my work were very good at allowing me flexibility when I returned to work each time (full time) but I think the view of my commitment after giving my first child changed and progression was an issue. I decided about 2.5 years ago that I wanted to change jobs but held out for my third child. I've quit my previous job and found a new job while on mat leave.;",At the end of my mat leave (next week).,,,,,,"Yes, three or more separate breaks of at least 6 months each",2 to 3 years,Same or related reasons,No – the first or earlier break(s) had the main negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independence;Contributing to my savings/retirement;Following my ambition;",Stay-at-home parent;,no need for this,very helpful,very helpful,Motherhood;Disabled or chronic health condition;,3 children,No,30 to 39 years,Doctoral (PhD) or equivalent,10-15 years,White Scottish,Eh6
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;,6 months to 2 years,Maternity Leave;,Lack of support (family/network) ;Timing not right;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Financial independence;,None of the above;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Scottish,Eh6
Yes,Yes,onbreak,6 months to 2 years,Maternity leave;Childcare;Health reasons/disability/recovery;,Lack of care provision;Lack of affordable care;,In about a year,,,,,,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Financial independence;Contributing to my savings/retirement;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to society;",Volunteering;Stay-at-home parent;,very helpful,very helpful,not sure,Motherhood;Mental health issues;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,Eh12 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",My career progressed/ developed after my break;I am earning more;I am more confident in my skills/the work I do;,6 months to 2 years,Maternity Leave;,"No obstacles, it was planned and/or worked out well ;","No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my ambition;Fulfilment;Being a positive role model;,Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Experience of trauma;,1 child,No,30 to 39 years,Bachelor's degree or equivalent,15-20 years,Any other White ethnic group,Eh6 
Yes,Yes,working,,,,,"I am working full-time, with flexibility around where and/or when to work",I am now working below my potential/skills;My career progressed/ developed after my break;My stress levels have increased ;,6 months to 2 years,Maternity Leave;,Discrimination (career gap);,"No, only one break of 6 months or more",,,,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to my savings/retirement;Financial independence;Following my dreams;",Stay-at-home parent;,very helpful,very helpful,no need for this,Motherhood;,1 child,No,30 to 39 years,Secondary/high school education ,15-20 years,White Scottish,EH33
Yes,Yes,onbreak,2 to 5 years,Health reasons/disability/recovery;Childcare;Burn-out;Workplace bullying;,I worry that it would be bad for my baby to be in childcare at too young an age eg. 1 yr old and I should wait to return to work. Even though I would love to be working again. But I worry nursery/childcare could harm her well-being. ;,Immediately,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Fulfilment;Giving my personal best;Status;,Volunteering;Stay-at-home parent;,nice to have,very helpful,no need for this,Motherhood;Mental health issues;Disabled or chronic health condition;Experience of trauma;,1 child,No,40 to 49 years,Bachelor's degree or equivalent,10-15 years,White Scottish,Eh125uq
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;,6 months to 2 years,Health reasons/disability/recovery;Burn-out;Menopause;,Unsuccessful applications;Lack of market insight;Lack of confidence in skills/experience;,"No, only one break of 6 months or more",,,,Financial independence;Earning money to provide for myself/my family;Contributing to my savings/retirement;Giving my personal best;Contributing to society;,Volunteering;,N/A,nice to have,nice to have,Motherhood;Older woman (55+);Perimenopausal or Menopausal;Minority ethnic woman;Experience of trauma;,Prefer not to say,,50 to 59 years,Bachelor's degree or equivalent,Over 20 years,"Chinese, Chinese Scottish or Chinese British",EH21
